Time:
56.331982039: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -227.49740600585938; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.335969696: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -227.47943115234375; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.339967409: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -227.43060302734375; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.343967637: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -227.33546447753906; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.347966189: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -227.1786651611328; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.351967255: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -226.94476318359375; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.355974188: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -226.6182861328125; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.359966873: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -226.18389892578125; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.363967939: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -225.6260986328125; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.367967329: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -224.9294891357422; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.371968395: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -224.0786590576172; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.375968622: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -223.05816650390625; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.379968012: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -221.8525848388672; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.383966564: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -220.446533203125; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.387965116: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -218.82455444335938; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.391961991: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -216.97119140625; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.395966410: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -214.87625122070312; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.399972505: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -212.54994201660156; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.403964352: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -210.00772094726562; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.407958713: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -207.26499938964844; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.411959779: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -204.3372039794922; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.415954978: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -201.23974609375; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.419952692: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -197.98805236816406; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.423947892: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -194.59756469726562; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
56.427952310: Joint 0: 34.303001403808594; Joint 1: 65.9000015258789; Joint 2: -191.0836944580078; Joint 3: 710.5409545898438; Joint 4: 0.0; Joint 5: 0.0; Joint 6: 0.0; Joint 7: 0.0; Joint 8: 0.0; 
